,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
0,0.0,0.0,0.0,0.0,10.0,10.0,176.5,-4.4,31.9
1,0.0,0.0,0.0,0.5,10.0,7.9,169.5,-4.4,26.5
2,0.0,0.0,0.0,1.0,30.0,8.4,174.6,-3.25,30.5
3,0.0,0.0,0.5,0.0,20.0,8.6,176.9,-1.25,31.5
4,0.0,0.0,0.5,0.5,20.0,8.3,163.7,-0.5,30.5
5,0.0,0.0,0.5,1.0,20.0,6.4,168.7,-1.55,22.4
6,0.0,0.0,1.0,0.0,10.0,5.9,163.2,-0.1,23.5
7,0.0,0.0,1.0,0.5,50.0,6.2,165.4,1.2,23.2
8,0.0,0.0,1.0,1.0,10.0,7.9,172.0,-2.15,30.8
9,0.0,0.5,0.0,0.0,0.0,0.1,155.5,-0.1,28.5
10,0.0,0.5,0.0,0.5,100.0,1.7,77.0,10.2,13.8
11,0.0,0.5,0.0,1.0,0.0,0.2,80.0,8.5,25.0
12,0.0,0.5,0.5,0.0,0.0,7.4,170.1,-4.95,26.5
13,0.0,0.5,0.5,0.5,0.0,7.7,152.7,-2.35,30.5
14,0.0,0.5,0.5,1.0,20.0,5.6,143.7,-2.55,25.3
15,0.0,0.5,1.0,0.0,30.0,7.9,164.4,-2.7,24.8
16,0.0,0.5,1.0,0.5,30.0,6.7,179.3,-1.65,21.7
17,0.0,0.5,1.0,1.0,20.0,6.7,173.8,-2.4,23.9
18,0.0,1.0,0.0,0.0,30.0,9.0,169.8,-3.6,22.7
19,0.0,1.0,0.0,0.5,30.0,1.2,166.0,4.3,25.1
20,0.0,1.0,0.0,1.0,30.0,0.2,133.0,16.55,28.7
21,0.0,1.0,0.5,0.0,30.0,6.6,176.2,0.2,25.0
22,0.0,1.0,0.5,0.5,10.0,8.4,153.2,-4.8,26.3
23,0.0,1.0,0.5,1.0,20.0,6.2,137.7,-5.05,22.5
24,0.0,1.0,1.0,0.0,10.0,6.1,181.6,-2.15,24.5
25,0.0,1.0,1.0,0.5,0.0,8.8,182.0,-1.6,28.5
26,0.0,1.0,1.0,1.0,20.0,5.4,164.1,-0.5,21.7
27,5.0,0.0,0.0,0.0,70.0,5.1,178.3,-1.8,19.0
28,5.0,0.0,0.0,0.5,20.0,7.0,180.2,-0.75,26.5
29,5.0,0.0,0.0,1.0,20.0,5.1,170.8,0.2,24.5
30,5.0,0.0,0.5,0.0,40.0,9.0,179.2,-1.7,28.2
31,5.0,0.0,0.5,0.5,20.0,7.1,163.8,-1.65,25.5
32,5.0,0.0,0.5,1.0,0.0,9.3,172.3,-4.6,29.0
33,5.0,0.0,1.0,0.0,40.0,7.4,163.1,0.0,29.0
34,5.0,0.0,1.0,0.5,10.0,10.2,169.9,-3.15,32.5
35,5.0,0.0,1.0,1.0,20.0,7.6,165.0,-0.25,25.4
36,5.0,0.5,0.0,0.0,100.0,0.1,182.5,12.3,14.5
37,5.0,0.5,0.0,0.5,100.0,0.2,127.8,9.55,11.8
38,5.0,0.5,0.0,1.0,30.0,0.5,84.0,6.25,25.0
39,5.0,0.5,0.5,0.0,20.0,7.4,191.0,-3.1,25.8
40,5.0,0.5,0.5,0.5,50.0,5.9,183.6,-0.2,24.3
41,5.0,0.5,0.5,1.0,20.0,6.2,143.0,-3.9,21.7
42,5.0,0.5,1.0,0.0,30.0,7.4,156.0,-1.2,23.8
43,5.0,0.5,1.0,0.5,0.0,10.2,177.8,-2.25,32.5
44,5.0,0.5,1.0,1.0,30.0,6.0,172.4,-0.8,21.9
45,5.0,1.0,0.0,0.0,20.0,12.3,193.0,-7.25,25.2
46,5.0,1.0,0.0,0.5,0.0,0.0,159.0,3.4,22.0
47,5.0,1.0,0.0,1.0,20.0,0.3,103.0,21.35,29.2
48,5.0,1.0,0.5,0.0,30.0,8.7,186.7,-4.25,26.2
49,5.0,1.0,0.5,0.5,10.0,6.8,183.2,-3.8,28.3
50,5.0,1.0,0.5,1.0,10.0,7.4,150.5,-2.5,30.5
51,5.0,1.0,1.0,0.0,10.0,10.0,167.3,-5.45,31.6
52,5.0,1.0,1.0,0.5,10.0,7.9,168.4,-2.65,32.5
53,5.0,1.0,1.0,1.0,40.0,6.4,156.8,0.6,24.0
54,10.0,0.0,0.0,0.0,20.0,6.9,163.3,-3.15,23.5
55,10.0,0.0,0.0,0.5,20.0,6.9,157.3,-1.5,27.0
56,10.0,0.0,0.0,1.0,0.0,8.5,180.2,-2.7,32.0
57,10.0,0.0,0.5,0.0,20.0,7.2,181.1,-3.4,24.7
58,10.0,0.0,0.5,0.5,20.0,5.3,173.5,1.85,25.5
59,10.0,0.0,0.5,1.0,30.0,5.9,163.8,0.55,25.0
60,10.0,0.0,1.0,0.0,0.0,7.0,171.1,-3.35,28.0
61,10.0,0.0,1.0,0.5,20.0,5.3,175.5,-1.85,23.1
62,10.0,0.0,1.0,1.0,30.0,6.5,170.1,0.2,26.7
63,10.0,0.5,0.0,0.0,0.0,0.0,189.4,2.2,34.0
64,10.0,0.5,0.0,0.5,60.0,0.2,153.0,7.35,22.6
65,10.0,0.5,0.0,1.0,10.0,0.4,84.2,7.85,24.3
66,10.0,0.5,0.5,0.0,20.0,7.3,176.2,-3.8,25.9
67,10.0,0.5,0.5,0.5,40.0,5.4,183.3,0.55,21.5
68,10.0,0.5,0.5,1.0,20.0,8.1,147.4,-3.15,27.8
69,10.0,0.5,1.0,0.0,30.0,7.6,171.7,-3.9,25.5
70,10.0,0.5,1.0,0.5,40.0,6.7,161.0,-0.45,24.5
71,10.0,0.5,1.0,1.0,10.0,7.6,163.0,-3.15,25.7
72,10.0,1.0,0.0,0.0,0.0,10.0,213.7,-5.1,28.5
73,10.0,1.0,0.0,0.5,0.0,0.8,182.9,-1.5,33.0
74,10.0,1.0,0.0,1.0,90.0,3.2,98.0,8.6,12.7
75,10.0,1.0,0.5,0.0,40.0,7.8,192.0,-2.5,23.6
76,10.0,1.0,0.5,0.5,0.0,7.5,171.1,-6.3,27.5
77,10.0,1.0,0.5,1.0,20.0,7.0,140.8,-0.4,22.4
78,10.0,1.0,1.0,0.0,20.0,6.4,172.0,-2.7,20.5
79,10.0,1.0,1.0,0.5,30.0,8.7,173.9,-4.35,24.1
80,10.0,1.0,1.0,1.0,0.0,8.9,177.0,-0.7,33.5
